animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type
abelha,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6
adder,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,3
aguia-cinzenta,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
alligator,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,1,3
anchovy,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,4
anta,1,0,0,1,0,0,0,1,1,1,0,0,4,0,0,0,1
antlion,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
aphid,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
aracari-banana,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
arara-azul,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2
arara-caninde,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2
ariranha,1,0,0,1,0,1,1,1,1,1,0,1,4,1,0,0,1
baiacu,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,4
barracuda,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
beetle,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
bicho-pau,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,7
boa,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,3
boto-cor-de-rosa,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1
bugio,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
butterfly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
cachorro-vinagre,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
caracol-da-mata-atlantica,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
caranguejeira,1,0,1,0,0,0,1,0,0,1,1,0,8,0,0,0,7
cascudinho-de-caverna,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4
chameleon,0,0,1,0,0,0,0,1,1,1,0,0,4,1,1,0,3
chaua,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,1,2
chimpanze,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,0,1
cicada,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
cobra-cipo,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3
cockroach,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
cricket,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
crocodile,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,1,3
dart frog,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5
dragonfly,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
ema,0,1,1,0,0,0,0,0,1,1,0,0,2,0,0,0,2
firebelly,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5
flounder,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,4
gato-maracaja,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
gaviao-pombo,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2
gecko,0,0,1,0,0,0,0,1,1,1,0,0,4,1,1,0,3
gharial,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,1,3
guara,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2
halibut,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,4
harpia,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2
hornet,0,0,1,0,1,0,1,0,0,1,1,0,6,0,0,0,6
iguana,0,0,1,0,0,0,1,1,1,1,0,0,4,1,1,1,3
jabuti,0,0,1,0,0,1,0,0,1,1,0,0,4,0,1,1,3
jacare-coroa,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,3
jacurutu,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2
jacutinga,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2
jaguatirica,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
jandaia-amarela,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
jararaca-ilhoa,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3
jellyfish,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,7
jiboia,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3
joaninha,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
lambari,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4
lizard,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3
lobo-guara,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
macaco-aranha,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
macaco-barrigudo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
mackerel,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,4
macuco,0,1,1,0,0,0,0,0,1,1,0,0,2,0,0,1,2
mantis,0,0,1,0,0,0,1,0,0,1,0,0,6,0,0,0,6
mariposa,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
marlin,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,4
matrinxa,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
mico-leao-dourado,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
